"SITE","RING","CO2","BLOCK","SPECIES","YEAR","TRTYEAR","WOOD","LITTER.PROD","FR.PROD","NPP","LAI","LAD","APAR","PEAK.FR","X","X.1"
"DUKE",1,"amb","A","PITA",1996,0,472.5,191.5,36.3,711.861,2.72,455.7,1203.2,262,NA,NA
"DUKE",2,"elev","A","PITA",1996,0,462.6,199.2,33.8,703.936,2.67,448.3,1205.2,264,NA,NA
"DUKE",3,"elev","B ","PITA",1996,0,498.8,216,60.5,754.996,2.67,448.3,1205.2,283,NA,NA
"DUKE",4,"elev","C","PITA",1996,0,491.4,210.9,70.8,745.646,2.67,448.3,1205.2,279,NA,NA
"DUKE",5,"amb","B","PITA",1996,0,490.7,208,15.7,739.633,2.72,455.7,1203.2,272,NA,NA
"DUKE",6,"amb","C","PITA",1996,0,479.6,205.2,46.1,733.046,2.72,455.7,1203.2,270,NA,NA
"DUKE",1,"amb","A","PITA",1997,1,434.8,180.1,34.8,661.261,2.59,333,1049.1,255,NA,NA
"DUKE",2,"elev","A","PITA",1997,1,487.9,232.1,27,755.336,2.82,352.3,1079.6,268,NA,NA
"DUKE",3,"elev","B ","PITA",1997,1,533.8,226.2,45.9,785.696,2.59,333,1079.6,303,NA,NA
"DUKE",4,"elev","C","PITA",1997,1,484.2,240.3,41.8,738.846,2.59,333,1079.6,285,NA,NA
"DUKE",5,"amb","B","PITA",1997,1,449.2,173.1,-3.8,643.733,2.59,333,1049.1,249,NA,NA
"DUKE",6,"amb","C","PITA",1997,1,391.6,187.2,38.1,619.146,2.59,333,1049.1,239,NA,NA
"DUKE",1,"amb","A","PITA",1998,2,331.7,238.6,34.8,616.661,2.74,346.1,981.5,225,NA,NA
"DUKE",2,"elev","A","PITA",1998,2,432,360.8,27,828.336,3.18,397.2,1039.7,260,NA,NA
"DUKE",3,"elev","B ","PITA",1998,2,405.9,345.8,45.9,777.296,3.18,397.2,1039.7,244,NA,NA
"DUKE",4,"elev","C","PITA",1998,2,368.7,333.9,41.8,716.946,3.18,397.2,1039.7,225,NA,NA
"DUKE",5,"amb","B","PITA",1998,2,363,256.8,-3.8,641.233,2.74,346.1,981.5,234,NA,NA
"DUKE",6,"amb","C","PITA",1998,2,322.9,263.7,38.1,627.046,2.74,346.1,981.5,229,NA,NA
"DUKE",1,"amb","A","PITA",1999,3,400.9,237.1,31.7,681.161,3.32,399.9,1067.6,205,NA,NA
"DUKE",2,"elev","A","PITA",1999,3,488.1,328.8,21.1,846.336,3.83,476.5,1143.2,221,NA,NA
"DUKE",3,"elev","B ","PITA",1999,3,463.6,320.9,15.9,780.196,3.83,476.5,1143.2,204,NA,NA
"DUKE",4,"elev","C","PITA",1999,3,476.1,275.8,67.8,792.146,3.83,476.5,1143.2,207,NA,NA
"DUKE",5,"amb","B","PITA",1999,3,363.7,265.8,-0.2,654.433,3.32,399.9,1067.6,197,NA,NA
"DUKE",6,"amb","C","PITA",1999,3,394.6,256,16.7,669.546,3.32,399.9,1067.6,202,NA,NA
"DUKE",1,"amb","A","PITA",2000,4,445,229.8,24.3,710.661,3.36,374.8,924.9,212,NA,NA
"DUKE",2,"elev","A","PITA",2000,4,498.7,243.1,13.9,764.036,3.89,429.2,971.4,196,NA,NA
"DUKE",3,"elev","B ","PITA",2000,4,463.3,273.5,34.4,750.896,3.89,429.2,971.4,193,NA,NA
"DUKE",4,"elev","C","PITA",2000,4,525.7,257.1,40.6,795.946,3.89,429.2,971.4,205,NA,NA
"DUKE",5,"amb","B","PITA",2000,4,362.1,213.4,8.9,609.633,3.36,374.8,924.9,181,NA,NA
"DUKE",6,"amb","C","PITA",2000,4,413.4,214,27.1,656.646,3.36,374.8,924.9,195,NA,NA
"DUKE",1,"amb","A","PITA",2001,5,325.9,204.4,24.3,566.161,NA,NA,NA,NA,NA,NA
"DUKE",2,"elev","A","PITA",2001,5,421.6,257.8,13.9,701.636,NA,NA,NA,NA,NA,NA
"DUKE",3,"elev","B ","PITA",2001,5,379.5,321.4,34.4,714.996,NA,NA,NA,NA,NA,NA
"DUKE",4,"elev","C","PITA",2001,5,417.8,238.4,40.6,669.346,NA,NA,NA,NA,NA,NA
"DUKE",5,"amb","B","PITA",2001,5,327,191.9,8.9,552.933,NA,NA,NA,NA,NA,NA
"DUKE",6,"amb","C","PITA",2001,5,327.2,189.5,27.1,546.046,NA,NA,NA,NA,NA,NA
"DUKE",1,"amb","A","PITA",2002,6,211.7,239,24.3,486.661,NA,NA,NA,NA,NA,NA
"DUKE",2,"elev","A","PITA",2002,6,305.6,274.8,13.9,602.636,NA,NA,NA,NA,NA,NA
"DUKE",3,"elev","B ","PITA",2002,6,257.6,316.8,34.4,588.496,NA,NA,NA,NA,NA,NA
"DUKE",4,"elev","C","PITA",2002,6,256.5,244.9,40.6,514.546,NA,NA,NA,NA,NA,NA
"DUKE",5,"amb","B","PITA",2002,6,209.6,215.3,8.9,458.933,NA,NA,NA,NA,NA,NA
"DUKE",6,"amb","C","PITA",2002,6,198.4,197.1,27.1,424.746,NA,NA,NA,NA,NA,NA
