"SITE","RING","CO2","BLOCK","SPECIES","YEAR","TRTYEAR","WOOD","LITTER.PROD","FR.PROD","NPP","LAI","LAD","APAR","PEAK.FR","X","X.1"
"ORNL",1,"elev","1","SG",1999,2,620,220,179,1019,5.58,730,1315,113.2,NA,NA
"ORNL",2,"elev","1","SG",1999,2,651,245,128,1024,6.11,784,1328,71.7,NA,NA
"ORNL",3,"amb","1","SG",1999,2,546,194,79,818,5.47,723,1272,69.6,NA,NA
"ORNL",4,"amb","1","SG",1999,2,611,214,208,1034,6.31,827,1304,148.4,NA,NA
"ORNL",5,"amb","1","SG",1999,2,512,205,78,794,5.19,709,1359,42.2,NA,NA
"ORNL",1,"elev","1","SG",2000,3,669,244,271,1184,6.22,840,1258,134.3,NA,NA
"ORNL",2,"elev","1","SG",2000,3,743,242,105,1090,6.37,914,1288,56.5,NA,NA
"ORNL",3,"amb","1","SG",2000,3,655,215,53,923,5.48,751,1239,38.5,NA,NA
"ORNL",4,"amb","1","SG",2000,3,748,222,117,1087,5.95,842,1258,62.8,NA,NA
"ORNL",5,"amb","1","SG",2000,3,585,218,102,905,6.07,837,1288,45,NA,NA
"ORNL",1,"elev","1","SG",2001,4,629,233,536,1399,6.01,844,1108,517.5,NA,NA
"ORNL",2,"elev","1","SG",2001,4,704,213,181,1098,6.15,900,1134,121,NA,NA
"ORNL",3,"amb","1","SG",2001,4,603,223,58,883,5.26,768,1134,38.2,NA,NA
"ORNL",4,"amb","1","SG",2001,4,747,202,149,1097,5.77,849,1117,111,NA,NA
"ORNL",5,"amb","1","SG",2001,4,538,210,436,1184,5.79,830,1112,241.8,NA,NA
"ORNL",1,"elev","1","SG",2002,5,589,232,526,1347,5.53,791,1180,380.9,NA,NA
"ORNL",2,"elev","1","SG",2002,5,644,224,243,1112,5.47,809,1197,167.9,NA,NA
"ORNL",3,"amb","1","SG",2002,5,568,211,41,820,5.24,779,1218,28.1,NA,NA
"ORNL",4,"amb","1","SG",2002,5,658,222,136,1016,6.01,901,1209,98.7,NA,NA
"ORNL",5,"amb","1","SG",2002,5,525,214,182,921,5.34,797,1188,161.6,NA,NA
"ORNL",1,"elev","1","SG",2003,6,710,217,330,1257,4.77,707,1288,320,NA,NA
"ORNL",2,"elev","1","SG",2003,6,799,228,256,1284,5.48,844,1296,258.3,NA,NA
"ORNL",3,"amb","1","SG",2003,6,686,219,141,1046,4.94,738,1282,106.7,NA,NA
"ORNL",4,"amb","1","SG",2003,6,797,234,91,1122,6.3,964,1303,94.1,NA,NA
"ORNL",5,"amb","1","SG",2003,6,609,211,199,1020,5.19,775,1295,186.5,NA,NA
