"SITE","RING","CO2","BLOCK","SPECIES","YEAR","TRTYEAR","WOOD","LITTER.PROD","FR.PROD","NPP","LAI","LAD","APAR","PEAK.FR","X","X.1"
"POPFACE",1,"elev","1","alba",2000,2,1258,267,109,1634,6.78,1025,1734,34.7,NA,NA
"POPFACE",1,"elev","1","nigra",2000,2,1320,236,159,1715,7.14,1174,1762,67.6,NA,NA
"POPFACE",1,"elev","1","eur",2000,2,1249,263,97,1609,4.78,740,1558,76,NA,NA
"POPFACE",4,"elev","2","alba",2000,2,983,197,83,1263,5.56,811,1632,30.2,NA,NA
"POPFACE",4,"elev","2","nigra",2000,2,1134,208,107,1449,6.47,1053,1750,45.6,NA,NA
"POPFACE",4,"elev","2","eur",2000,2,1274,251,123,1649,4.87,770,1647,92.4,NA,NA
"POPFACE",5,"elev","3","alba",2000,2,859,183,84,1126,4.74,584,1709,26.3,NA,NA
"POPFACE",5,"elev","3","nigra",2000,2,1222,227,73,1522,5.83,736,1738,29.5,NA,NA
"POPFACE",5,"elev","3","eur",2000,2,1041,200,90,1331,3.41,437,1574,62.8,NA,NA
"POPFACE",2,"amb","1","alba",2000,2,781,195,46,1022,6.42,792,1654,61.1,NA,NA
"POPFACE",2,"amb","1","nigra",2000,2,1091,223,65,1380,6.04,870,1664,48.6,NA,NA
"POPFACE",2,"amb","1","eur",2000,2,876,236,36,1149,3.8,603,1507,46.1,NA,NA
"POPFACE",3,"amb","2","alba",2000,2,962,212,37,1211,6,922,1766,45.2,NA,NA
"POPFACE",3,"amb","2","nigra",2000,2,1224,206,53,1483,6.1,1001,1743,34.3,NA,NA
"POPFACE",3,"amb","2","eur",2000,2,866,254,59,1179,3.82,598,1675,93.6,NA,NA
"POPFACE",6,"amb","3","alba",2000,2,900,217,45,1162,5.43,626,1734,54.7,NA,NA
"POPFACE",6,"amb","3","nigra",2000,2,1169,241,39,1449,5.96,783,1762,26.7,NA,NA
"POPFACE",6,"amb","3","eur",2000,2,804,222,37,1063,4.11,464,1561,56.8,NA,NA
"POPFACE",1,"elev","1","alba",2001,3,2043,266,107,2417,7.24,1235,1643,68.8,NA,NA
"POPFACE",1,"elev","1","nigra",2001,3,1877,278,159,2314,7.98,1380,1643,91,NA,NA
"POPFACE",1,"elev","1","eur",2001,3,1178,289,203,1670,4.47,831,1517,132.9,NA,NA
"POPFACE",4,"elev","2","alba",2001,3,1221,261,134,1616,6.34,1092,1644,134,NA,NA
"POPFACE",4,"elev","2","nigra",2001,3,1814,326,232,2371,7.37,1310,1640,122.4,NA,NA
"POPFACE",4,"elev","2","eur",2001,3,1377,299,221,1897,5.04,842,1378,125.7,NA,NA
"POPFACE",5,"elev","3","alba",2001,3,1727,222,107,2056,6.34,1130,1644,85.3,NA,NA
"POPFACE",5,"elev","3","nigra",2001,3,2028,365,161,2554,7.34,1391,1646,96,NA,NA
"POPFACE",5,"elev","3","eur",2001,3,1426,288,277,1991,4.39,817,1524,132.2,NA,NA
"POPFACE",2,"amb","1","alba",2001,3,1172,220,103,1494,7,1188,1630,59,NA,NA
"POPFACE",2,"amb","1","nigra",2001,3,1656,263,90,2008,6.98,1230,1634,64.3,NA,NA
"POPFACE",2,"amb","1","eur",2001,3,1039,290,118,1448,4.18,715,1339,66.8,NA,NA
"POPFACE",3,"amb","2","alba",2001,3,1156,258,85,1500,7.04,1205,1643,50,NA,NA
"POPFACE",3,"amb","2","nigra",2001,3,1531,345,88,1964,7.52,1321,1636,56,NA,NA
"POPFACE",3,"amb","2","eur",2001,3,1055,275,146,1475,5.06,863,1516,86.2,NA,NA
"POPFACE",6,"amb","3","alba",2001,3,1162,223,100,1486,7.05,1193,1639,60.8,NA,NA
"POPFACE",6,"amb","3","nigra",2001,3,1584,294,100,1978,7.56,1356,1641,78.7,NA,NA
"POPFACE",6,"amb","3","eur",2001,3,1246,283,144,1673,4.65,768,1414,96.8,NA,NA
