"SITE","RING","CO2","BLOCK","SPECIES","YEAR","TRTYEAR","WOOD","LITTER.PROD","FR.PROD","NPP","LAI","LAD","APAR","PEAK.FR","X","X.1"
"Rhinelander",19,"amb","1","AA",2003,7,280,108,21,409,2.7,369,653,10.77,NA,NA
"Rhinelander",22,"amb","2","AA",2003,7,296,113,24,432,2.81,384,667,12.02,NA,NA
"Rhinelander",25,"amb","3","AA",2003,7,298,110,23,431,2.76,377,660,11.77,NA,NA
"Rhinelander",46,"elev","1","AA",2003,7,362,152,29,544,3.81,520,775,14.81,NA,NA
"Rhinelander",49,"elev","2","AA",2003,7,283,125,26,434,3.12,426,705,13.15,NA,NA
"Rhinelander",52,"elev","3","AA",2003,7,456,158,32,646,3.94,538,787,16.26,NA,NA
"Rhinelander",2,"amb","1","AB",2001,5,101,123,12,236,3.06,418,729,6.11,NA,NA
"Rhinelander",5,"amb","2","AB",2001,5,132,73,11,217,1.83,250,538,5.64,NA,NA
"Rhinelander",8,"amb","3","AB",2001,5,111,111,14,235,2.77,379,692,7.11,NA,NA
"Rhinelander",11,"amb","1","AB",2002,6,170,138,14,322,3.45,471,685,7.13,NA,NA
"Rhinelander",14,"amb","2","AB",2002,6,170,87,13,270,2.17,296,530,6.43,NA,NA
"Rhinelander",17,"amb","3","AB",2002,6,183,125,16,324,3.11,425,651,8.15,NA,NA
"Rhinelander",20,"amb","1","AB",2003,7,207,116,16,339,2.91,397,679,8.31,NA,NA
"Rhinelander",23,"amb","2","AB",2003,7,186,91,15,291,2.27,310,589,7.46,NA,NA
"Rhinelander",26,"amb","3","AB",2003,7,200,95,18,314,2.37,324,605,9.31,NA,NA
"Rhinelander",29,"elev","1","AB",2001,5,404,182,25,611,4.54,620,866,12.92,NA,NA
"Rhinelander",32,"elev","2","AB",2001,5,162,140,18,319,3.49,476,777,9.05,NA,NA
"Rhinelander",35,"elev","3","AB",2001,5,235,153,21,409,3.82,521,808,10.79,NA,NA
"Rhinelander",38,"elev","1","AB",2002,6,313,195,29,538,4.88,666,790,14.91,NA,NA
"Rhinelander",41,"elev","2","AB",2002,6,287,128,21,436,3.21,438,661,10.81,NA,NA
"Rhinelander",44,"elev","3","AB",2002,6,391,162,26,579,4.04,552,735,13.09,NA,NA
"Rhinelander",47,"elev","1","AB",2003,7,353,160,32,545,4,546,792,16.39,NA,NA
"Rhinelander",50,"elev","2","AB",2003,7,273,136,25,433,3.39,463,735,12.49,NA,NA
"Rhinelander",53,"elev","3","AB",2003,7,357,120,31,507,3,409,691,15.49,NA,NA
